Date,Actual,Forecast
2019-01-02,1.0,1.0
2019-01-03,0.9752432696049628,1.0015657269982159
2019-01-04,1.008728944217258,1.0008787134357064
2019-01-07,1.0158005727606711,1.0030123001255453
2019-01-08,1.0256490488404773,1.007995039466375
2019-01-09,1.0298522052589207,1.0075070575215865
2019-01-10,1.0345055088068056,1.0070579977815275
2019-01-11,1.0343541628834239,1.0124175397358028
2019-01-14,1.0289160198395442,1.0152016678767304
2019-01-15,1.0399477370234245,1.0139783811722343
2019-01-16,1.0422584858034898,1.0160955741738724
2019-01-17,1.050170687270981,1.0150147423892029
2019-01-18,1.0640151431517477,1.01400035118195
2019-01-22,1.0489515550064132,1.0153756934414306
2019-01-23,1.0512623037864786,1.0097242010516863
2019-01-24,1.0527085522021367,1.00471770140996
2019-01-25,1.0616446730368776,1.0034128666005255
2019-01-28,1.0533141304276992,1.0007685340930799
2019-01-29,1.0517802453301854,1.0022275125485383
2019-01-30,1.0681346507950573,0.9998128129859268
2019-01-31,1.0773178273144959,0.9959701840984259
2019-02-01,1.0782859159876446,1.0012564070470675
2019-02-04,1.085592636495591,1.001224665332534
2019-02-05,1.0907040629863605,1.0021791464570549
2019-02-06,1.0882778594434068,0.9984701497135873
2019-02-07,1.0780946909970477,0.9975071174702097
2019-02-08,1.0788236997989413,0.9985026630487691
2019-02-11,1.0795886970273463,0.9955346918148947
2019-02-12,1.0935048379630823,0.9973605642784283
2019-02-13,1.0968115907633467,0.9962429490507155
2019-02-14,1.0939032395711619,0.9961178007674727
2019-02-15,1.1058035422921886,0.994986296538973
2019-02-19,1.1074608579660334,1.0016684556263658
2019-02-20,1.1094289385661025,1.002493291472312
2019-02-21,1.1055166075402756,1.0000334469768344
2019-02-22,1.1126041877105748,1.0034608546302575
2019-02-25,1.113974763164542,1.0004959666180806
2019-02-26,1.1130942139072313,1.0020454998551978
2019-02-27,1.112488635681669,0.9967492289215005
2019-02-28,1.1093452897909686,0.9934408791330605
2019-03-01,1.1169945812128936,0.9948743596542674
2019-03-04,1.1126600184046758,0.9980713402352682
2019-03-05,1.111401007072893,0.999444035753714
2019-03-06,1.1041501172590475,0.9998946045001144
2019-03-07,1.0951781052638132,0.9996876314016823
2019-03-08,1.0928435263094365,0.995692349054958
2019-03-11,1.108871215221198,0.9940579773264867
2019-03-12,1.1121460647676904,0.9933752737210919
2019-03-13,1.1198750170580278,0.9974717626744377
2019-03-14,1.1189029404781579,0.9993981431762354
2019-03-15,1.1244805629912724,0.9946890106791273
2019-03-18,1.1286478282492223,0.9965728872750788
2019-03-19,1.128500470232562,0.9962607671922539
2019-03-20,1.1251777658054118,0.9950234297174887
2019-03-21,1.1373887361866448,0.9977910179612672
2019-03-22,1.1158073522020977,1.0019882923029038
2019-03-25,1.1148711667827211,1.0056850017340873
2019-03-26,1.1228789807455108,1.003766131632543
2019-03-27,1.1176639659460001,1.0035892332784337
2019-03-28,1.121675800107829,1.0053837788891966
2019-03-29,1.1292294790344557,1.0092561401622264
2019-04-01,1.1422930833259493,1.0085717865032138
2019-04-02,1.1423130228595568,1.008927765574015
2019-04-03,1.1447671417495608,1.0063520705362
2019-04-04,1.147153563491317,1.0035110700836647
2019-04-05,1.1524722638655869,1.0070408620978062
2019-04-08,1.1536794324099904,1.0123524051403325
2019-04-09,1.1466794889215466,1.0131246808145065
2019-04-10,1.1506674929090641,1.0172661143271557
2019-04-11,1.1507113598830006,1.019387489371067
2019-04-12,1.1583167843309892,1.0182699917935867
2019-04-15,1.1575877755290955,1.0204411212683737
2019-04-16,1.158177402127772,1.0263971619733272
2019-04-17,1.155543924701318,1.0272780865735711
2019-04-18,1.1573686351914483,1.03332225814573
2019-04-22,1.1585399125753582,1.0257995422649395
2019-04-23,1.168782802356522,1.0294312179084828
2019-04-24,1.166221107251055,1.0307683670235117
2019-04-25,1.1657908023892036,1.0308198444496306
2019-04-26,1.1712528728734122,1.0321268611195915
2019-04-29,1.1725078962984736,1.026727348436851
2019-04-30,1.1736234402543,1.027059791030421
2019-05-01,1.1648187258093334,1.0292598360021243
2019-05-02,1.1623446673857218,1.0350237810215435
2019-05-03,1.1735476700265917,1.034264953145414
