Date,Actual,Forecast
2019-01-02,1.0,1.0
2019-01-03,0.9597895107114989,1.0015657269982159
2019-01-04,0.9992483677376747,0.9758914897387556
2019-01-07,1.0078917355662906,0.9930771371708741
2019-01-08,1.0206689464416543,1.0090748974107555
2019-01-09,1.0251784712235228,1.0205684227988085
2019-01-10,1.0263058748183302,1.027289017982993
2019-01-11,1.0150319284676173,1.0359718893155914
2019-01-14,1.0184141392520394,1.0327097991405705
2019-01-15,1.0187899105845215,1.031147179816795
2019-01-16,1.0263058748183302,1.0331340212679878
2019-01-17,1.0330702963871745,1.036439973081458
2019-01-18,1.046223188997659,1.0409883781145142
2019-01-22,1.0259301034858481,1.0523360795067582
2019-01-23,1.0353251035767894,1.0372878641277092
2019-01-24,1.0191656819170036,1.0342560461691621
2019-01-25,1.034573471314464,1.023339662256779
2019-01-28,1.031191260530042,1.0262136335861847
2019-01-29,1.0191656819170036,1.0274641241853781
2019-01-30,1.0127771212780023,1.0171678324445317
2019-01-31,0.9902292285765766,1.0059543463017175
2019-02-01,1.011273946350713,0.9940556147254345
2019-02-04,1.0236752962962332,1.000169261959576
2019-02-05,1.0154076998000994,1.0106061920807494
2019-02-06,1.0154076998000994,1.0048720617650901
2019-02-07,0.9966177892155778,1.0026947913646105
2019-02-08,0.9891018249817691,0.9912868269355839
2019-02-11,1.0,0.9786883561023184
2019-02-12,1.008643367828616,0.9831390048721779
2019-02-13,1.017662506989714,0.9877999593099116
2019-02-14,0.9984968250727105,0.9948597727048545
2019-02-15,1.0018789462597717,0.9842860386989778
2019-02-19,0.9947388429558062,0.988840322059798
2019-02-20,0.9973694214779031,0.983955409878345
2019-02-21,1.0101465427559055,0.980474729994594
2019-02-22,0.9977451928103852,0.990754513816165
2019-02-25,1.0045096143792296,0.9823019078988073
2019-02-26,0.9906049999090587,0.9853289584572662
2019-02-27,1.0120255786130383,0.9716984167445
2019-02-28,1.0187899105845215,0.977736294116528
2019-03-01,1.0353251035767894,0.9862659184685054
2019-03-04,1.0229236640339079,1.0015620115177744
2019-03-05,1.0229236640339079,0.9995402134534754
2019-03-06,1.0116497176831951,0.9982099311760614
2019-03-07,0.9906049999090587,0.9900494646297253
2019-03-08,0.9864712464596723,0.9699808197491295
2019-03-11,0.9932355784311556,0.9595158805003237
2019-03-12,0.9789552822258637,0.959092204284564
2019-03-13,0.9812100894154785,0.9540237916992524
2019-03-14,0.988350282316805,0.9533115983265126
2019-03-15,0.974445667846634,0.951660522665209
2019-03-18,0.9778278786310562,0.9456361976420365
2019-03-19,0.9823374930102858,0.9438953033775765
2019-03-20,0.9526494074075335,0.9443602793113072
2019-03-21,0.9534009500724977,0.9292095602547598
2019-03-22,0.922585460874938,0.9263320096200582
2019-03-25,0.9094325682644534,0.9080746346038148
2019-03-26,0.9071777610748386,0.8899094124540176
2019-03-27,0.8921458326072214,0.881799355856271
2019-03-28,0.8977827609838973,0.87089504134442
2019-03-29,0.9071777610748386,0.8725469410208809
2019-04-01,0.9383690216048804,0.8765017525754598
2019-04-02,0.9323562322983614,0.8966485662874409
2019-04-03,0.9458849858386891,0.8978368603770295
2019-04-04,0.9440060395789175,0.9041545003997921
2019-04-05,0.93987219653217,0.9090460272390374
2019-04-08,0.9466366181010144,0.9114246498835754
2019-04-09,0.9391206538672058,0.9147189950793861
2019-04-10,0.9308530573710718,0.914399550752615
2019-04-11,0.9409996001269774,0.9092127460243058
2019-04-12,0.9620443179011138,0.9111539566927543
2019-04-15,0.9594137393790169,0.9262868710518832
2019-04-16,0.974069896514152,0.9346004622443407
2019-04-17,0.974069896514152,0.9448100782172658
2019-04-18,0.9620443179011138,0.9534245123101945
2019-04-22,0.9733182642518267,0.9397819747370237
2019-04-23,0.965802300018018,0.9468652259723355
2019-04-24,0.9477640216958217,0.9443221850106951
2019-04-25,0.9522735464776902,0.9313884634151202
2019-04-26,0.9413754610568206,0.9298871260085617
2019-04-29,0.9530251787400156,0.9168311246571135
2019-04-30,0.94287863598411,0.9204894922818312
2019-05-01,0.9436301786490743,0.9170275756996423
2019-05-02,0.9590379680465347,0.920060365592608
2019-05-03,0.9511461428828829,0.9273877189341341
2019-05-06,0.9394964251996879,0.9236183182442086
2019-05-07,0.9199548823528411,0.914589072335611
2019-05-08,0.9327320932282046,0.9024978643916354
2019-05-09,0.9233370931372632,0.9056605734223971
2019-05-10,0.922585460874938,0.8993105785298774
2019-05-13,0.9037955502904164,0.8984851594268963
2019-05-14,0.9090567073346102,0.8864783276330648
2019-05-15,0.8940247788669929,0.8877759281198021
2019-05-16,0.9037955502904164,0.8761476501076739
2019-05-17,0.8992859359111868,0.8775363029026194
2019-05-20,0.9079293037398029,0.8745939809979696
2019-05-21,0.9116873754540682,0.8750654006712162
2019-05-22,0.8992859359111868,0.879845720295048
2019-05-23,0.8628335183369511,0.8745892101340026
2019-05-24,0.8733558324253388,0.8501835062542699
2019-05-28,0.8523111146512024,0.8468754619845028
2019-05-29,0.8402856256355253,0.8294203716352934
2019-05-30,0.8369034148511031,0.8159692741054393
2019-05-31,0.8049605220587359,0.8084431491730877
2019-06-03,0.7820368580248279,0.7846827346438822
2019-06-04,0.7963171542301198,0.7624065568279526
2019-06-05,0.7978203291574094,0.7638105569146751
2019-06-06,0.7981961900872526,0.76942871475474
2019-06-07,0.7831642616196354,0.7704814134784898
2019-06-10,0.805336293391218,0.7622752724731607
2019-06-11,0.8042089793937717,0.7720804562005358
2019-06-12,0.79932359368206,0.770540288322977
2019-06-13,0.7857948401417323,0.768735363641643
