Date,w_k,rolling_min,rolling_max,min_max_threshold,max_min_threshold
2020-04-29,1.2639372071521984,-5.175058517477586,1.2798730527610112,0.6343798957371511,-4.529565360453726
2020-04-30,1.0250524762490572,-5.175058517477586,1.2798730527610112,0.6343798957371511,-4.529565360453726
2020-05-01,0.8392463910403255,-5.175058517477586,1.2798730527610112,0.6343798957371511,-4.529565360453726
2020-05-04,0.9818508265888,-5.175058517477586,1.2798730527610112,0.6343798957371511,-4.529565360453726
2020-05-05,1.1684771655607022,-5.175058517477586,1.2798730527610112,0.6343798957371511,-4.529565360453726
2020-05-06,0.8109437864794666,-5.175058517477586,1.2798730527610112,0.6343798957371511,-4.529565360453726
2020-05-07,1.0049831095762325,-5.175058517477586,1.2798730527610112,0.6343798957371511,-4.529565360453726
2020-05-08,1.0701585861984861,-5.175058517477586,1.2798730527610112,0.6343798957371511,-4.529565360453726
2020-05-11,0.9288140357825667,-5.175058517477586,1.2798730527610112,0.6343798957371511,-4.529565360453726
2020-05-12,1.0944806965906295,-5.175058517477586,1.2798730527610112,0.6343798957371511,-4.529565360453726
2020-05-13,0.9185869064307636,-5.175058517477586,1.2798730527610112,0.6343798957371511,-4.529565360453726
2020-05-14,1.1108730716012636,-5.175058517477586,1.2798730527610112,0.6343798957371511,-4.529565360453726
2020-05-15,0.9798976181633029,-5.175058517477586,1.2798730527610112,0.6343798957371511,-4.529565360453726
2020-05-18,1.0125088845827004,-5.175058517477586,1.2798730527610112,0.6343798957371511,-4.529565360453726
2020-05-19,0.94465512547276,-5.175058517477586,1.2798730527610112,0.6343798957371511,-4.529565360453726
2020-05-20,1.0089011533145336,0.7348318124600878,1.2798730527610112,1.2253689287309188,0.7893359364901801
2020-05-21,0.9828988852330605,0.7348318124600878,1.2798730527610112,1.2253689287309188,0.7893359364901801
2020-05-22,0.9678213061241582,0.7348318124600878,1.2798730527610112,1.2253689287309188,0.7893359364901801
2020-05-26,1.053899607978257,0.8109437864794666,1.2798730527610112,1.2329801261328568,0.857836713107621
