Date,Actual,Forecast
2019-01-02,1.0,1.0
2019-01-03,1.0118177745217243,1.0015657269982159
2019-01-04,1.030511348109397,1.0129607729367933
2019-01-07,1.0425440374578019,1.033782257866651
2019-01-08,1.0696174860342247,1.0508822475798236
2019-01-09,1.1250537082151726,1.0773773543617118
2019-01-10,1.1299956836709486,1.1323803600378848
2019-01-11,1.1085087910983622,1.1430258735439867
2019-01-14,1.085302907776294,1.124004866379084
2019-01-15,1.1196819850720259,1.0988485080947725
2019-01-16,1.1239793799797413,1.135595634725434
2019-01-17,1.118822489697285,1.1382914112211766
2019-01-18,1.15599480401194,1.131407963911099
2019-01-22,1.129565935983578,1.1698896686728424
2019-01-23,1.1306402642190092,1.1362749606019644
2019-01-24,1.1415986253319828,1.1311931940715076
2019-01-25,1.1536312327143972,1.1401358997309052
2019-01-28,1.117103580913793,1.1484834416921694
2019-01-29,1.1454662725523275,1.113220090018851
2019-01-30,1.1652341743754315,1.1382241930549901
2019-01-31,1.15577997115125,1.1527279684806477
2019-02-01,1.1873656474960783,1.1486656684101284
2019-02-04,1.1723248882680604,1.1792180480767473
2019-02-05,1.1529866521663366,1.1645281588669822
2019-02-06,1.1605070317803456,1.1401903926973085
2019-02-07,1.1310700119063797,1.1456612217391915
2019-02-08,1.132789002655862,1.1169909542195227
2019-02-11,1.1261280364506037,1.1146403208695475
2019-02-12,1.1409539628179317,1.1093980875466036
2019-02-13,1.158143542448793,1.1218793390173456
2019-02-14,1.1691018215957762,1.137735767040331
2019-02-15,1.1944563613887071,1.1463263740707637
2019-02-19,1.2051998076750003,1.178039803597138
2019-02-20,1.223033885887932,1.188585061897757
2019-02-21,1.2238933812626729,1.2021616299536804
2019-02-22,1.2303394326412507,1.2061272146404345
2019-02-25,1.1920927900911642,1.2078263036297485
2019-02-26,1.1925225377785347,1.1710496414984206
2019-02-27,1.2234636335753024,1.1642633028873488
2019-02-28,1.2294800192325,1.1894846821258804
2019-03-01,1.1989685891571127,1.196075378373673
2019-03-04,1.2159432539612933,1.1691090661306087
2019-03-05,1.2152986734132327,1.186301132439556
2019-03-06,1.2079931266599138,1.185240453619156
2019-03-07,1.217447329884095,1.1769988159351397
2019-03-08,1.2047700599876296,1.1806992175754392
2019-03-11,1.2202406488690087,1.165758487144063
2019-03-12,1.2219595576525006,1.1790162763311247
2019-03-13,1.251826325213837,1.184614874367755
2019-03-14,1.2593467867938364,1.2148830260415748
2019-03-15,1.257412963183664,1.2154135156023684
2019-03-18,1.2696604853927589,1.2147865381316127
2019-03-19,1.2683712423306472,1.2251320098897374
2019-03-20,1.2855608219615084,1.2212813055962357
2019-03-21,1.2887838066678021,1.2402198059339706
2019-03-22,1.2685861571573276,1.2473731968933184
2019-03-25,1.2638590145622417,1.2314313407326685
2019-03-26,1.287924311293061,1.2236040336964817
2019-03-27,1.2765362844587071,1.2456890286216293
2019-03-28,1.2741727131611644,1.2359633617863346
2019-03-29,1.2922217062007764,1.2374714292251556
2019-04-01,1.3233777168242244,1.25310784919005
2019-04-02,1.3446497765361205,1.2825705790439839
2019-04-03,1.3420712904118972,1.2986534846494706
2019-04-04,1.3343359959712076,1.29128883901205
2019-04-05,1.3553932228224137,1.287136086797373
2019-04-08,1.3837559144609481,1.3130454943589347
2019-04-09,1.374731376958147,1.3402180156931687
2019-04-10,1.3882681422293537,1.335692656465956
2019-04-11,1.3661366691087067,1.350382285971736
2019-04-12,1.3727975533479746,1.3261573742780155
2019-04-15,1.362269021888362,1.3341411054932406
2019-04-16,1.3762355348469393,1.330338097289973
2019-04-17,1.3700042343630612,1.343825594224816
2019-04-18,1.3751611246455175,1.3443499180912268
2019-04-22,1.411688776446122,1.3383215010843734
2019-04-23,1.4245810431352581,1.377431816611863
2019-04-24,1.4157713384931472,1.3903923862503391
2019-04-25,1.4011602449865093,1.380493366706279
2019-04-26,1.3601202834515091,1.366641278777493
2019-04-29,1.3644176783592246,1.3183333885727688
2019-04-30,1.3732273010353453,1.3215840326021118
2019-05-01,1.366566334830087,1.3316140476206926
2019-05-02,1.3281048594193103,1.3313378113406762
2019-05-03,1.3308980964382335,1.2917574449851232
2019-05-06,1.3375590626434917,1.2911820319398957
2019-05-07,1.3192952367431896,1.2955950652904578
2019-05-08,1.3347657436585783,1.2815940693740246
2019-05-09,1.3257412881217674,1.2979657868189929
2019-05-10,1.3248817927470262,1.2870408054016684
2019-05-13,1.3115599423025002,1.2882874150307864
2019-05-14,1.3274601969052593,1.2757235382516288
2019-05-15,1.3326170871877157,1.2951347053757347
2019-05-16,1.350880913088018,1.297294190271239
2019-05-17,1.348517341790475,1.3137174005525734
2019-05-20,1.355822888543794,1.3098002176585626
2019-05-21,1.3534593992122412,1.3108395704770313
2019-05-22,1.3197249024645699,1.309775543301762
2019-05-23,1.244305945599828,1.2781803990140048
2019-05-24,1.2597765344812069,1.20515501588687
2019-05-28,1.2707348136281902,1.2192376338473352
2019-05-29,1.2636441817015516,1.2243728445126167
2019-05-30,1.2159432539612933,1.215928848060033
2019-05-31,1.1495487526333623,1.1687668065901138
2019-06-03,1.1441770294902158,1.1021596857821947
2019-06-04,1.1491190049459918,1.0964522651653228
2019-06-05,1.1104426147085347,1.102590414693126
2019-06-06,1.1299956836709486,1.0718288366983344
2019-06-07,1.1600773660589654,1.0913018880084662
2019-06-10,1.144391862350906,1.121262708426986
2019-06-11,1.1446067771775863,1.1058426897057723
2019-06-12,1.0988396730475005,1.099386040337661
2019-06-13,1.1233347174656902,1.055338951513411
2019-06-14,1.1282766929214663,1.079068977188932
