Ticker,Label,Lambda,Alpha,r,Sigma,Correlation,RMSE
^GSPC,S&P 500,0.1,0.01,0.00018120906894578907,0.05,0.9478990222436405,0.1719059939623673
CL=F,Crude Oil,0.1,1.0,0.00018058430552923575,0.05,0.9294118787959111,0.3945287723439969
^TNX,10Y Treasury,0.1,0.6221270219752558,-0.0001526923897628201,0.05,0.9848920768386139,0.4069694372595509
BTC-USD,Bitcoin,0.1,0.27583769638241873,0.0013423682392012925,0.05,0.9883715566744046,3.045815718778839
EURUSD=X,EUR/USD,0.1,0.8439117111463449,-1.1485956148019317e-05,0.05,0.005836711193087753,0.10642986483534625
